[General]
A Dildo|Um vibrador
80746a36-4608-4f73-87af-624dbd947ccc|Hmm, parece que a porta deste armário não está fechando direito...
80da8bab-00f5-4362-81a2-f8041cb5888a|Vamos em frente! Os controles básicos do House Party (por padrão) são: "w", "a", "s" e "d" para se mover. Clique com o botão esquerdo para interagir com objetos ou selecionar opções. Shift esquerdo para correr. "C" para agachar. "P" para colocar o pinto para fora. E a barra de espaço para entrar no modo de combate. Ok, até agora tudo bem...
80e605da-be6d-47e4-a0cf-694f1ffb7256|Se fosse tão fácil tirar aquela chave da blusa da Ashley. Ah, espera...
80fd02d4-8b6d-4039-8433-30efd3ec679a|Cada foto pode ter um nível de nudez associado a ela. Uma foto nua conta como uma foto nua, uma foto de topless... bem, você entendeu! Mas lembre-se, uma foto de topless não conta como uma foto nua.
81cfae8b-30ea-42b4-8277-5f4935e6a76e|Parece que você precisa fazer login para remover os anúncios. Pena que não tenho uma conta.
82762ef2-538d-4174-b4a7-8ef124506daa|Parece que tem algo errado com o termostato.
828ea824-7fa8-43c2-a018-a217176de22d|Legal! Uma caixa de som Wi-Fi! Ela até funciona com pilhas! Madison não brinca em caixas de som.
8293180f-806e-4718-82b3-0f7e932a326f|Reiniciar sempre funciona quando meu Wi-Fi cai...
83079b8d-2ce0-484e-8c13-c76b93ad7ae5|Um controle remoto para a smart TV da sala. Olha esses botões... nojento.
8327fb88-e708-462d-b726-b5886cf95e1b|Ah... Parece que algo caiu da blusa da Ashley.
83344444-9acb-4b2f-ab52-a959ba7df3ca|Você precisa de um tempinho para recarregar as energias...
83707e0a-3d1a-4663-a161-98ea305a8451|Não é fácil de encontrar, você terá que procurar com perseverança, mas se olhar com atenção, vai conseguir sentir o cheiro dos meus peidos. Como um túnel estreito que leva ao tesouro do Al Capone, quando encontrá-lo, você vai se masturbar com muita paixão!
84048cfa-45b0-404f-9f90-5ed1fcbfe38a|Voltar para quê? Para ter uma e apenas uma faixa em loop para sempre? Qual o propósito de completar este conteúdo? Decida-se!
8432e55d-b13b-4917-9aaf-fe275671594d|Uma toalha macia com cheiro de sabão em pó.
85299c95-d781-4387-a450-df30daf2541c|É um dos livros escolares da Madison. Parece que tem algo arranhado na capa, como se alguém tivesse escrito algo nele. Mas não consigo descobrir o quê.
857ecef8-780e-4eeb-b1e0-1db4fff3e125|Liz parece estar procurando algo no porta-malas.
863c862f-cb14-4c42-9031-0724a050af04|Ashley não quer falar comigo agora.
86824806-1306-4fd9-a1bb-6e4c4b3d660d|É a Leah, a aluna de artes marciais incrível do Frank. Você não quer irritá-la...
87722113-4d75-4b2a-98ac-489cfdf2baf1|Seja paciente, use bloqueios e contra-ataque rapidamente enquanto seu oponente estiver vulnerável. Cuidado, alguns lutadores extremamente habilidosos terão um ataque que pode atordoá-lo mesmo se você bloquear, então não fique parado por muito tempo. Ser um tanque não significa pular em chamas! Boa sorte!
87b535ed-47b6-4976-9e09-a06b02f512f1|Isso importa até na TV!
87b7e7a6-0b50-4ae7-90a9-bb07e33eeeaa|Um martelo aqui... um martelo ali... esperemos que Madison não leve isso muito a mal... e pronto. Crise evitada!
87c155da-bc2d-4c8e-a5fd-ca8d5e142436|Nesta casa você encontrará um computador escondido. Só eu, o mestre da festa, sei onde ele está guardado. É longe, como uma civilização perdida e remota, mas passar no teste não requer nenhuma sobriedade.
8832f260-9b72-499c-9162-0eabcb3268d6|É um pendrive. Hmm. Quem será que o deixou aqui?
886a262c-91da-4e0e-9570-010ccf2acfb2|Hmm. É um bloqueador de frequência. O que será que a Madison está fazendo com um desses? Pode ser útil.
8878eda6-9b18-4be0-a757-9f917eda1c78|Derek, meu amigo e aparentemente rival. Mas não há ressentimentos entre nós... certo?
888fdb5a-ed12-4324-98ed-c502d6fc3ea9|Sério? Este micro-ondas parece estar em boas condições para você?
88ca1162-e413-4171-bd91-74828afc47c7|Este é o irmão malvado do outro martelo. Ele teve algumas recaídas, perdeu a guarda dos filhos e está em busca de sangue.
88cc9659-335d-45b4-957b-579d4aeb72b7|Será que eu deveria mesmo fazer isso na frente da Liz Katz?
88f081b6-6f8a-4615-a870-7b872b1b14ea|Agora você se sente um pouco mais forte.
893508dc-b5a9-4ae4-a710-e9d0e02599de|Que cheiro é esse...?
895dc62c-5f16-41d1-b2f0-222a023a7b64|Ótimo, problema de inundação resolvido. Agora preciso de toalhas para a Katherine.
898f97d1-9c97-4042-b786-e50b963c5f98|A Compubro parece ter gostado disso.
89fd5fcd-758e-48f8-90e4-2d17d60cd755|Oook, me sinto - soluço! - ótimo! Acho que estou pronto para o teste da Vickie...
8a5919f0-feeb-4e08-821d-89c48da3b6eb|Isso pode ser útil se eu quiser quebrar o transe profundo do Derek! Algo inflamável ou explosivo deve resolver...
8ae7f9af-f6b3-4473-b618-2f896ba5e4d8|Bem, o cheiro era bom, mas não durou muito. Acho que preciso de algo mais pesado que não queime tão rápido.
8b03d5c9-5a6e-47e2-abd5-c5aa6a489d1c|Parece que a faca está presa no ar-condicionado.
8b2f3a36-805b-4cfc-a212-0913eaebc356|Hmm, ainda não é bom o suficiente para um cartão de felicitações.
8b6ddd8b-9a64-49da-a7c8-81520786b3d5|A saliva escorrendo da boca aberta de Frank me faz pensar que ele não está com vontade de nada agora. Ele pode nem estar neste planeta agora.
8bd1c9af-6922-4e5b-ad49-a787e5366542|*Coloque as roupas da Ashley na secadora*
8be2bcb8-8d74-426e-968e-e23338c16d6f|A saída de ar está fechada.
8c312500-05cd-4ac8-95dd-d30fc81a2acb|Frank não parece interessado em trocar itens, presentes, ações ou... bem, qualquer tipo de troca.
8c87cc92-80ca-4612-b35c-23f973226984|Estou tão perto! Um pouco mais de álcool e... "treinamento" e estarei pronto!
8cb75b31-a796-42f6-9804-229f402ecbfa|A maioria das instruções está escrita em outro idioma. Pelo que estou lendo, posso deduzir que essas Starbombs são perfeitamente comestíveis ou causam morte por diarreia se ingeridas. Cara, devo ter tido uma educação excelente.
8d36cca9-0f9c-4352-bfec-4b755ffe4ebe|Você desbloqueou novas opções de roupas para Liz Katz e Patrick no personalizador!
8d4c33ac-59ec-40ce-b1ac-3203b6b072b1|Uau! Uau! Você terminou bravamente a garrafa de mezcal. Lety provavelmente não precisa. Você sente que poderia bater um pouco mais forte... UAU!
8d4e3f62-138b-455b-b3c9-cfd9d6aebff7|É uma máquina de lavar. Parece a pior coisa da casa inteira. Devem ter comprado usada. Espera, quem sou eu para julgar? Comprei calcinha usada. Droga, talvez eu devesse parar de pensar alto.
8e269cdc-b4ba-45e5-87f5-465f047a8068|Hidratante 0-Ácido da Lady Cassandra: zero ácidos, zero manchas!
8e3371f6-7f4f-4b9c-aa5e-d561b015a111|Então, tire a camisa, a festa está ficando intensa, você sente que está derretendo, o ar está muito denso. Se quer um conselho, comece a se despir, quebrei alguma coisa, descubra o que é ou continue suando!
8f1f0ffb-41d5-4e43-a272-77e537215b62|Nem todos os atos sexuais terminam da mesma forma ou têm as mesmas opções disponíveis, então interaja com seu parceiro (clique com o botão esquerdo por padrão) e tente fazer o momento durar mais! Se é isso que seu parceiro quer. Ok, sim, este é o pior momento para um tutorial. Vai, vai, vai!
8fc054d2-6e4c-4a03-acf5-ab5108005e53|Se o Grumps e o Sr. Demência Artificial não estiverem juntos, é inútil. Talvez devessem segurá-lo pela mão... pela alça... tanto faz.
8fd9b0c7-7791-452a-9ca0-543eb4953454|Um tampo modesto que pode cobrir os maiores peitoris de janela.
8fffdda9-a17a-43f6-89a9-4baa7adf8773|Nossa, que refrescante! Não consigo imaginar um uso melhor para esta deliciosa água com açúcar! Maior regeneração de energia... obrigado, cafeína!
901e5740-e314-46db-9e30-c08b2c78fd8d|Boom, jacuzzi interna. Quem disse que construir um cenário é difícil?
9057f0b5-d3fd-4b3d-ab76-5e6ca8551531|Hmm, tem uma brecha misteriosa aqui. Será que eu conseguiria algum conteúdo novo se gastasse dinheiro em DLC?
90b479a1-cf9a-4573-8133-60a4961574a3|Os movimentos padrão são usados atacando sem pressionar nenhum botão de movimento. Agora você tem duas novas animações de ataque. Elas às vezes causam 25% mais dano do que um simples soco e são muito rápidas. Piu piu!
91493baa-7872-4ceb-b7f5-2263727ec69a|Pfff. PC de merda. Compre um Mac.
91845b55-9b24-4acb-b063-132ee358a853|Perfeito! Vamos ver o que a Ashley está escondendo...
91df9983-afea-4a87-820e-2f0d0377badc|A Amala parece distraída no momento. É melhor eu deixá-la em paz até o apagão acabar.
9208389d-709d-4b59-9504-46c440363e7b|Droga, tenho que lidar com a Stephanie. Ela não tem nada a ver com o meu plano com o Derek... e ela nem ganhou um concurso de arte! Não que ela não possa. Ouvi dizer que drogas são ótimas inspirações.
9253b98e-666b-44a8-a042-2f260984e404|Eu provavelmente deveria ficar pelado. Pelo menos, essa é a primeira coisa que a IA faz naqueles jogos baratos do FuckHub.
929ea27c-2812-4876-9c47-618cb6811d59|Um lugar onde guardo minha coleção secreta, uma conta do Instagasm, para minha masturbação, com tantos peitos que me deixa eufórico, mas a ideia de encontrá-la é pura fantasia.
93174d9c-0af3-44c6-b2d2-1beecf120137|Ei, o plexiglass ficou lindo aqui! ... 
9359a881-343e-486a-9700-1973cd966a39|Derek, meu melhor amigo e, aparentemente, defensor da minha honra. Ele prometeu me defender se as coisas ficarem feias.
93917dc2-97be-464e-b52f-63434aff0530|Vamos lá, não estou causando uma má impressão hoje à noite, estou?
93c49d6c-1eb4-480c-b5c4-e437744198e3|Parece que o Dinolicious lutou contra outro dinossauro na lama.
93ca89fb-df43-4cb1-a48a-d05b7a3f7fa3|Eu provavelmente deveria garantir que Madison, Ashley e nossos guardas estejam prontos antes de fechar as últimas saídas de ar. Não vou enfrentar o assassino sem reforços.
93cb0055-708e-4fc5-8a37-ca2c0e58c391|Consumir certos itens na frente de certos personagens pode causar... uma reação. Bom? Ruim? Isso é você quem decide. Consumir certos itens também pode aumentar suas estatísticas de combate ou aumentar seu medidor de bexiga! Sofra menos dano! Bata mais forte! Bata com mais frequência! ... Faça xixi com mais frequência! Ei, cada um na sua.
94484c7d-aeae-4e47-9cb5-ca58cd5ebeb6|Estou quase lá... Não consigo... ah, merda!
948cc873-34e7-49e3-baeb-e449085c631f|Não conseguiu ficar de mãos atadas, não é?
95551808-4249-4f79-ae52-393fd228c334|Você tem uma tábua no bolso ou está feliz em me ver?
95a2b4c2-374f-4b36-93e8-91e963d10064|O Patrick finalmente vai embora. Espero que minha historinha não o tenha inspirado... em nenhum sentido da palavra...
9608434f-444d-4978-bbab-1a57bdaef028|Nem sei o que dizer nessa situação. Contato visual? Não, obrigada.
966fcd7e-a28c-438c-853b-8a237dd3d30a|É a Leah, a aluna de artes marciais do Frank. Melhor não irritá-la... nem beber na frente dela.
968843b8-3aef-4f07-9e5a-0bb29e339889|É a Doja Cat, cantora vencedora do Grammy!
96e7ec45-4bde-4893-8547-c6a6dfedf241|Ah, é, eu sei alguns passos de dança... mais ou menos. Será que vão ser úteis hoje à noite?
97b01f56-be12-43c4-9891-a78eaa187749|A Brittney está sozinha neste quarto e parece triste. Será que consigo animá-la?
996cbfa1-ea11-4913-a2d1-3d3ec508ec41|É o Derek. Ele é o amigo que me convidou para a festa e nunca se esquece de fumar um cigarro depois de uma transa. Ah, Derek...
99a4df3f-2f7b-4145-9c84-0b185850f9aa|Um para o senhor das bolas, que ele usará como trono, no coração do Subúrbio, onde moram as donas de casa.
9a07f5f0-3ca4-4ac3-bce1-061ea33b445a|Espero que a Madison não se importe que tenhamos feito isso na casa dela. Ah, bem, foi ideia do Frank!
9a53b84c-3547-40d1-aebe-c18affdf3d3e|É melhor não interromper Brittney e Lety por enquanto...
9af8d100-c6d0-49af-8741-e76a109a86e1|Lety está totalmente focada em... algo específico. Ou melhor, duas coisas, já que Derek tem duas... vamos esquecer. Melhor não interrompê-los.
9b2be7d1-5040-4a69-8bde-607bee53365b|Deve ser a garrafa térmica de que a Rachael estava falando...
9b55cb9c-8378-47d8-b7f6-5d534c6935fe|Este objeto em particular é uma cama. ...você sabia disso, né? Enfim, camas costumam ser lugares onde coisas mágicas acontecem. Não como aqueles shows de mágica infantis ruins. Mágica adulta. Mágica de "penetração". Lembre-se de que, se um personagem estiver na cama, outro personagem pode não conseguir subir nela. Tente fazer essa pessoa sair usando palavras ou... outros meios. Meios penetrantes. ...Esses tutoriais estão ficando de mau gosto.
9b9a85ec-f11b-4183-b90e-98561316191f|Pipoca pré-cozida! Ótimo!
9babebb2-c9d0-4637-923f-837cf99551ec|Talvez seja melhor não interromper duas gatinhas enquanto brincam de médica... A menos que você seja idiota.
9bea5aab-c87f-4e43-a4fa-813be9cccb74|Parece que você deu água demais para a Liz beber, e agora ela está em uma missão pessoal. Ela é imparável.
9bf22930-30c8-402a-9302-eb75f0e7708e|Seria uma ótima ideia... se o micro-ondas funcionasse...
9c2a3d57-3128-4aa6-b86d-eea1f6fb39f0|Agora só preciso de algo para incendiar esta magnífica exibição de produção de alta qualidade.
9c497936-c64a-489b-8b81-19da903f137c|Ah, chocolate quente! Quente e delicioso. Assim como eu.
9c88b317-751f-473c-8887-5983f6de015c|Mesmo na morte, a diversão nunca acaba. Onde quer que eu esteja, posso foder mulheres bonitas. Uma festa para mim no meu quarto escondido, uma realidade virtual, entrar vai ser difícil!
9c9f7b5a-0981-4cdf-8cdd-b5156d4a854e|Cheira a limpo, mas tem dois rasgos na região do peito. Maldito Derek e seus mamilos de batata frita!
9ca4d293-4dc6-4b59-b2d3-a308673f9f92|Você tenta escapar das chamas, mas se queimar é mais difícil do que aqueles caras de robe fazem parecer, ou... talvez você seja só um merdinha. Ou ambos. Não importa... você salvou como mandamos?
9d03b1dc-fa6f-4880-aa41-da5d86957368|Sim, é uma capa de banheira de hidromassagem que cobre uma banheira de hidromassagem.
9d7bd3af-7da2-4c2f-86cb-712fa28ac1e7|Nossa, o rótulo nutricional na parte de trás do pote diz "bem-vindo ao inferno". Tem um pentagrama na tampa.
9d94f292-eaeb-4ed3-9be7-8a0867cea0bb|É uma coleira para animais de estimação. Diz "purg" alguma coisa, mas o resto está coberto de poeira e... sangue?
9da6c7d8-ab95-4715-a8b0-87029566435e|O pequeno já está com uma aparência melhor!
9ddd7698-8b9f-4b10-9626-dc4666767b9d|Nossa. Eu nunca abandonaria meu celular assim. Conheço algumas pessoas que bisbilhotariam minhas coisas ou tirariam meu autenticador do LitigiViolenti.net. Idiotas.
9e3cf5ca-43a6-45a8-9837-ee2d3d1c89ad|Ah, é mesmo? Terei a petição pronta em dois segundos...
9e6dc0ac-a5bc-43fe-8d12-0a8077a5491e|É o Derek. Ele é o amigo que me convidou para a festa, e acho que é a mão dele na minha bunda. ...Acho.
9e8742eb-a5da-47cd-b7a2-ccfb5049afd1|Seus olhos vidrados não demonstram nenhuma reação... talvez ele precise de um descanso.
9e9fe8ba-f7f3-4cbc-a416-97ad10ff8255|Coloque a fantasia do Dinolicious na máquina de lavar.
9eb713ef-53b2-41c7-94b0-1eeb0dd26b69|Não consigo pensar em nada que eu faria com uma lata de chantilly numa festa cheia de garotas... pensando bem, é melhor eu aceitar...
9eddd69e-03fd-4eb5-87af-c71dbab17642|Ah, será que alguma vez as salvaram? Como conseguiram fazê-las posar daquele jeito?
9f2b856e-dc9e-4a78-8ad7-af4078c99a1c|Ele está resmungando algo para si mesmo e ofegante. Melhor deixá-lo em paz por enquanto.
9f30a66e-6b15-4138-960c-51d0f0525922|Droga, estou tão flácida. Acho que vou ter que esperar um pouco para recarregar.
9f4dc2bf-b5b8-4d0d-9f93-3c02c33a8a61|Uma espada está presa nos postes da cerca. Está presa fundo demais para você soltá-la.
9f85ee32-cd55-46a6-a129-d94cd3d6aa98|Ainda não! Tenho que esperar o momento certo... quando ele e seu ego estiverem mais vulneráveis!
a01e7dbc-831c-4ebf-bb6c-53559ad77c36|Boom! A música da Doja Cat está tocando alto como um farol de frescor na noite. Ele deveria ouvir a música e voltar assim que terminar de se arrumar. Provavelmente posso fazer outra coisa enquanto espero...
a039fcb9-e85d-44e3-a234-98af5b240cb9|Ok, é hora de se tornar alguém! Não se esqueça de que há outras pessoas aqui, e as conversas que você tem e as ações que você toma podem mudar seus relacionamentos com os outros participantes e o comportamento deles. Às vezes de forma positiva, às vezes... menos positiva. Tente não ser pego fazendo coisas negativas. Ou sendo um babaca, ou você sofrerá as consequências. Pense bem nas suas ações e divirta-se!
a055ad0c-e3e6-4143-b7ec-f992898f108c|Está chegando, estou quase lá!
a0b7bb79-78f3-4f9b-86cd-5e88ee68bc98|Um pendrive. Tenho a impressão de que não é usado com frequência. Quer dizer, talvez uma vez a cada 950 dias, mais ou menos. Mas agora tudo isso está prestes a mudar!
a0e602a7-3e3a-4eb6-b05d-0ca7bd7ad3b1|Parece que alguém quebrou com um martelo. Ah, é verdade.
a126faef-070b-49e9-bf2d-d0fd956c0a35|Ok, pulmões, vamos lá...
a1bee2a6-e8b5-4106-8ca3-8b7b6e475524|Ahhh, olha que cores lindas! Alguém aqui tem bom gosto!
a1d6dfcf-383c-4411-9c32-10f11d1c5d1d|Tem uma festa na casa da Madison hoje à noite, e sua amiga Brittney te convidou. Ela está tendo "acidentes" com roupas a noite toda e pediu para você trazer uma blusa extra para ela. Como ela é nova na cidade, esta parece uma boa oportunidade para socializar com gente nova. Fique por aqui um pouco e veja que oportunidades existem para se divertir, ou em que tipo de travessura ou depravação você pode se envolver. A escolha é sua. Mas primeiro, vá falar com a Brittney. Boa sorte!
a1d85b90-858f-4ada-a3fb-5bcd41ca8832|...Nada. Ótimo. Ela está claramente chapada demais para me ajudar. É melhor eu visitá-la mais tarde...
a23f458a-2189-4f40-bba1-5546d712a62e|Não entendi.
a258d08e-8339-4f1f-b4df-987045009a20|Arin Hanson! Como há três irmãos Hanson na banda Hanson, Arin é o quarto Hanson mais famoso da internet!
a2c5a0cf-7aec-4acb-9396-19d55d9bd34d|Isso é vida real? Ou só fantasia? Não, aqui é o Patrick no modo mano.
a2f4503e-ada0-4448-bbed-6c7c01598bb1|NPCs também podem trancar portas por dentro, às vezes impedindo você de abri-las. Nesses casos, você terá que encontrar outra solução para abrir a porta novamente.
a3379eb7-591d-47d9-96e5-d43a4201d192|Três cadeiras para os caras fortes com seus bíceps salientes, sete para os traficantes que nos dão "remédios", nove para as figuras de autoridade que nenhum homem teme...
a36e7358-5b9e-4e74-b5e7-a41133384f41|KABOOM! ...Na verdade, não. Você pode lançar esses explosivos interagindo com a caixa deles e pegando um. Em seguida, lance-os segurando e soltando o botão direito do mouse (padrão!). Isso produzirá reações diferentes dependendo do NPC... e outros efeitos especiais em alguns casos. Dica: Não para uso profissional. Definitivamente para uso na casa de outras pessoas.
a3a90a0d-d0b9-4897-ac30-cd7ed1695c7a|Um par de óculos de sol estiloso, elegante e feito de acordo com padrões éticos.
a3cf67e2-4355-49a7-ad3e-0919b4b443ff|Quem mostrou isso? Ridículo.
a4a7811d-504f-4766-bcb1-2f275b614674|Bem, isso foi... nojento.
a4b1a3db-36b9-40da-a915-52b20e523ed5|Uma toalha macia que ainda tem a etiqueta de preço.
a5241c6c-be2b-468e-a80d-bfefefa4af74|O Frank é um babaca e bem irritadiço. Eu provavelmente deveria tentar não irritá-lo.
a56b8f94-bb31-4427-b93c-0ccc11e5f425|"Eu acredito que posso f..."
a5f7713e-00b0-4e6e-9db1-265f2156f906|Compubro faz um barulho de prazer.
a642bd4e-260c-46e6-8fd7-5a909db171c9|Só queria te lembrar que você está jogando um jogo adulto. Tem gente bonita para conversar, e você está examinando um salmão na geladeira. Vá encontrar o amor!
a6531b16-391d-4dca-9ed5-3a14a64ff76d|Sim... OLHA PARA MIM!
a69d5ca5-8493-4713-b5d5-ad208098e992|Mhh... O chão aqui é macio, como se tivesse sido mexido recentemente.
a6fa5844-c975-4d82-932b-00fa249ecb0f|Um buraco que poderia levar a uma história muito legal... e, em vez disso, decidi ser um idiota. Bom trabalho!
a708d39a-1bbd-4a27-9019-f9fd49ebad39|*Você ouve sons horríveis, assustadores e nojentos vindos de dentro da lata de lixo. Provavelmente é hora de correr.
a72cc437-61af-4b23-acf6-ab2272d3837f|São fogões. Preciso mesmo explicar tudo para você?
a7633d1a-83df-4b69-b3a5-dcc5a5ead260|É a Liz Katz! Edição VR. Você não acreditaria quantos pixels existem entre a pele dela e aquela roupa.
a7ac1c52-f7e9-49d5-9775-76431de09704|Madison morde o lábio e te encara com cara de biquinho...
a7b11895-6592-4a41-9bb4-a76e4c7befb6|Preciso me concentrar para subir lá em cima... Não consigo com a morte respirando no meu pescoço!
a896e08e-2a57-4761-b0ba-8a0736c7fab5|Deitada enquanto alguém me persegue? Isso é desejo de morte... devo consultar um psiquiatra?
a899075c-af60-4c52-af66-6929ab9ddbbd|Puta merda! Cheira a álcool! Está quase completamente cheio... e só uma cheirada me fez perder metade dos pelos do nariz! Devo contar a verdade ao Frank ou mentir?
a92a489a-8088-4823-99c8-b8732cbfdaec|Devo colocar um pouco de água na chaleira antes de ligar o fogão ou posso incendiar a casa.
a9491361-3eff-48a1-a686-5c9e4ea3d7b0|Ah, não. De jeito nenhum.
a97adcee-ae95-43ca-90c6-b89abad03faa|Lembre-se de que os PNJs podem ver quais itens você está segurando, e alguns podem não gostar que você tenha certos itens. Na maioria dos casos, segurar um item será o mesmo que tê-lo no inventário, exceto em alguns casos. Por fim, alguns PNJs podem até reagir se você jogar algo neles e for atingido em certas situações. Se sentindo mais culto? Ótimo, agora vá buscar mais coisas!
a98ea819-b3ef-4a47-9b11-11a8942ca40e|Obrigado por baixar o DLC de Dia dos Namorados! Deixamos um presente especial no seu inventário para ajudar você a conquistar um convidado de sua escolha. Escolha com sabedoria e Feliz Dia dos Namorados!
a9a1286d-dcd3-42e3-a69c-dd573c96dfef|A chaleira está cheia de café.
a9f48bbb-7cae-41a1-8c5f-02a6fefedbf3|Provavelmente preciso da Liz aqui antes de começar a martelar as coisas em busca de pistas, certo?
aa145ab0-f00c-4df3-9c50-68293be2ce62|Portas também são objetos. Você nunca soube, né? Caso não tenha ficado óbvio, elas podem bloquear a visão de um personagem e, com o item certo em sua posse, até mesmo impedi-lo de chegar até você! Isso pode ser bom ou ruim. Você decide.
aa196bd0-4608-47fd-8bc4-3d6ae7214f9a|É super eficaz... ah, o que há de errado comigo?
aa1cbb6d-ba9c-4a6c-8506-899f909d0f4e|Esta espada parece ter passado por muita coisa.
aa225d4f-069f-460c-90d1-ded86560bf10|É uma torneira. De onde você é? Isso é novidade para você?
ab312c7a-feda-4090-b1e4-436cea4daf43|É a Lety! Definitivamente tem algo melhor a fazer do que examiná-la como uma pervertida.
ab79b721-df83-40e6-8a1b-01201f80cff6|Hah! Esqueça os laxantes do Capitão Ralph... próxima parada: terra da merda!
ac34aa85-5a94-4e0a-a65d-10dd56fb9a79|Bem, isso foi... nojento.
ac87d9ac-e25c-4bdd-8fde-6e724903c180|Eu entendo que qualquer coisa pode virar um vibrador se você for corajoso o suficiente... mas você deve estar louco!
ad541550-8fee-413f-aaf0-ebad56c18367|Algo me diz que Liz não está com vontade de conversar agora.
ad6c1b9d-9fe8-4246-9553-312540d358d8|Vamos ver... "Como consertar uma pia com a Miss Tool"? Vou avisar o Derek que tenho um vídeo para ele! Parece que tem anúncios se você não estiver conectado...
ae7dc3e3-3940-4405-9a07-f8b7da8bbfcd|Liz Katz está curtindo seu tentáculo. Acho que não tem muito mais que eu possa fazer com ela hoje à noite.
aecea386-325a-4aa1-8323-58f84db54e6b|Um chaveiro pequeno, mas tem o formato de um anel peniano. Então é um... chaveiro de pênis?
af2b9274-6c5e-45d0-a920-866d61ed6846|O micro-ondas parece quebrado. Será que alguém aqui é inteligente o suficiente para consertá-lo?
af676ad8-6ccd-4d61-8062-00be614483d6|Ótimo! Agora eu tenho uma flor azul!
afa122be-8a76-4054-b850-76a51b640c53|Um lugar onde guardo minha coleção secreta, uma conta do Instagasm, para minha masturbação, com tantos peitos que me deixa eufórica, mas a ideia de encontrá-la é pura fantasia.
afdb1980-bdc3-481b-b524-7595ef6f60ac|Você desbloqueou o biquíni para Liz Katz no Personalizador!
Ashley's Clean Clothes|Roupas Limpas da Ashley
Ashley's Wet Clothes|Roupas molhadas da Ashley
b03a62f1-fc78-4abf-ae48-279360e2bff2|Ele... ele está no meio de uma dança da chuva? Ou de uma dança dos sprinklers? Como diabos ele está dançando numa hora dessas?!
b0473f98-abd9-4292-be4e-dc09e1cf0221|Não é fácil de encontrar, você vai ter que procurar bastante, mas se olhar com atenção, vai conseguir sentir o cheiro dos meus peidos. Como um túnel estreito que leva ao tesouro do Al Capone, quando você encontrá-lo, vai se masturbar com paixão!
b0d2a3ac-7b9a-4a95-9114-611540303364|Quase todo mundo odeia o Patrick aqui. Eu nem sei como ele foi convidado.
b1416ee3-c430-455d-9e5c-452758d38f6b|Não é o melhor momento da sua vida? Pergunta retórica. Um ato sexual pode terminar assim que um ou ambos os parceiros atingirem o limite de suas barras de orgasmo e alcançarem o nono céu. Lembre-se de que nem todos os atos sexuais dão prazer a ambos os parceiros.
b1cc4294-138e-46e6-b31a-c0178c1c2613|Não tenho certeza se posso recomeçar imediatamente. Melhor esperar alguns minutos para recarregar as energias.
b1e44348-b838-4e67-9ddf-aaaf8645bcc0|A Steph está com uma expressão vazia no rosto... Acho que ela não está interessada em bugigangas, brinquedos ou vibradores... espera, eu também tenho um vibrador aqui?
b1ed14c3-5efb-4770-9e1f-fc745c65f82d|Parece que os Grumps estão ocupados demais para se preocuparem comigo agora. Típico. Só para constar, eu também tenho dezenas de seguidores no X. Dezenas!
b1f8362e-1b34-4b2f-bbf7-4590269bd6a8|Um par de óculos surrados que te dão +1 de inteligência se você realmente acreditar neles.
b2517a19-0380-4dd7-8a15-3b58468d179f|O interruptor não se move.
b315b214-be0b-46fd-b555-e3cf970ec1e6|Frank não quer falar agora.
b3333653-5fb2-4000-8f73-8adf132a1310|Dan parece distraído. É melhor eu deixá-lo sozinho até o apagão acabar.
b3961a83-73e8-4599-809f-bdf13f2885b4|Leah está te ignorando completamente por algum motivo. Talvez você devesse fazer algo para tirá-la do transe.
b41aab26-bf5c-4cc9-baf5-a6e6cf7fafb3|Uma xícara de café vazia. O que você esperava?
b443e6ab-0559-47d1-b969-4368af76a366|Nãããão! Eu estava tão perto de ganhar! Que vida de merda, hein? Se eu pudesse voltar a uma época menos ruim...
b578f828-4a01-45c7-aaf1-8d531630c8e7|Esses fogões são lindos!
b5c47cd2-72d1-4a94-a4cf-1c1d8ee775b8|Ah, merda!
b5d44820-c1b4-4a68-a5dd-3c1ba1fd02f9|Merda... esqueci de trancar a porta?
b668fa14-e9a9-4f18-a58c-c6db5eb188ce|Você não tem nada melhor para fazer do que artesanato?
b6a259f0-5eec-46b2-94f9-43e05669fca7|Por outro lado, acho que vou deixar os Rezingões passarem. Livre-arbítrio, seus idiotas!
b6d71b5b-b397-486d-afee-0617691f2028|E com isso, você ganhou o título de "estraga-prazeres definitivo". Ótimo!
b6e997b2-f3fa-4aac-a4bd-120e5ae89e4b|Ei, para onde a Steph fugiu?
b710008b-2bb6-49c0-9c8f-a3a86b47d2fc|Esta chaleira está com cheiro de café velho. Deve haver outra maneira de aquecê-la.
b74b29a0-87ee-4e7b-bbb5-600453801cd5|Perfeito! Isso é... mais artístico? Eu deveria deixar o Derek ganhar.
b7c9130a-8dcd-4437-ad05-3fdb81e92afb|Hmm. Acho que está funcionando agora, mas não quero que exploda na minha cara. Melhor esperar a Katherine confirmar.
b86a37de-2a67-4740-94b5-71f17153f2f0|Como diabos eu pensei que conseguiria fazer isso? Tenho a força de um gatinho com as pernas quebradas. Por outro lado... sinto que posso bater um pouco mais forte.
b8c0b0db-b3f2-4452-8b88-f709447598bb|Ele está vindo, estou quase lá!
b8d45c56-d009-4d06-96a1-3fb195ca04ff|Ei, onde a Steph está indo?
